food_name,iron_mg_100g,b12_mcg_100g,calcium_mg_100g,vit_d_mcg_100g,vit_c_mg_100g,folate_dfe_mcg_100g
yeast extract spread,4.04,0.5,67,0,0,5881
"cereals rte,quaker,cap'n crunch w/ crunchberries",19.8,0,11,0,0.1,2757
"yardlong beans, mature seeds, raw",8.61,0,138,0,1.6,658
"mothbeans, mature seeds, raw",10.85,0,150,0,4,649
"cowpeas, catjang, mature seeds, raw",9.95,0,85,,1.5,639
"mung beans, mature seeds, raw",6.74,0,132,0,4.8,625
"chicken,liver,all classes,raw",8.99,16.58,8,0,17.9,588
"chickpeas (garbanzo bns,bengal gm),mature seeds,raw",4.31,0,57,0,4,557
"peanut butter,smooth,vit & mineral fort",16.6,0,43,0,0,540
